"","foodstuffs % oui","bulletins"
"ZH",40.3744873920251,573050
"BE",41.5930165588418,432337
"LU",35.9020486919017,176210
"UR",35.8273133814929,17442
"SZ",33.4210988239424,68364
"OW",31.4631401238042,17770
"NW",30.8494226543874,21391
"GL",37.5393889573914,14598
"ZG",32.1377784800126,50632
"FR",40.1419197314207,117954
"SO",40.2172043983891,110495
"BS",50.4372167791466,72161
"BL",40.4404386627004,112615
"SH",43.9610825318721,35768
"AR",38.4183529221697,24759
"AI",32.5567322239032,6610
"SG",37.3140517558133,190510
"GR",38.1083668389814,78345
"AG",37.6296058729892,255679
"TG",38.3318729920307,95868
"TI",41.755890209551,137389
"VD",43.5255790076411,253235
"VS",36.0925709305259,130797
"NE",45.6464817208578,60342
"GE",45.5386016852653,131730
"JU",50.5099401374621,27062
