"","gotthard % oui","bulletins"
"ZH",55.5496930974929,589438
"BE",57.6804185669932,440933
"LU",61.408798513921,181417
"UR",53.0046385573565,19187
"SZ",68.1716156518507,69947
"OW",65.4893065456902,18516
"NW",63.1318359814556,22217
"GL",59.9451944927149,14962
"ZG",63.2891675160093,52001
"FR",55.364965907968,121436
"SO",65.2908415841584,113120
"BS",51.5561716817527,73578
"BL",61.1925262614086,116140
"SH",53.0311538975799,37395
"AR",51.1791525823442,25442
"AI",53.8415812156338,6729
"SG",56.0711341420327,195293
"GR",60.1614712912825,81996
"AG",67.9838718854191,263639
"TG",57.0078226857888,98176
"TI",57.7668486924668,147415
"VD",NA,NA
"VS",56.5990931914415,133435
"NE",50.6127669219188,61769
"GE",45.2417150346377,133525
"JU",50.1767541510445,28005
