"","inheritances_tax % oui","bulletins"
"ZH",32.9490518767552,402743
"BE",35.6428884026258,285625
"LU",26.876954026492,114827
"UR",26.0276823811011,9609
"SZ",17.1600462169808,50198
"OW",17.7569363032435,12795
"NW",17.9470198675497,15100
"GL",30.1468153217794,9059
"ZG",19.3980829814331,44757
"FR",28.8273173620192,81062
"SO",29.6239266441938,72087
"BS",41.3135090759829,54815
"BL",29.221537341351,79657
"SH",31.6635908252043,30344
"AR",28.1691727206172,17757
"AI",20.7697723539075,4261
"SG",27.9940879639306,133964
"GR",23.9754628432061,54122
"AG",25.3857220238685,171691
"TG",27.0212702127021,66666
"TI",27.0906153310031,94697
"VD",28.3392667003668,185954
"VS",15.6527202838557,108224
"NE",33.9998109283418,42312
"GE",28.1012173087803,109586
"JU",33.756345177665,19700
