"","reproductive_medicine % oui","bulletins"
"ZH",64.7710182801071,390315
"BE",57.0905251593527,280353
"LU",54.7412570050365,112776
"UR",46.1061189559264,9348
"SZ",48.959876605849,49273
"OW",44.2012779552716,12520
"NW",50.1354279523294,14768
"GL",52.4732394366197,8875
"ZG",57.7890596414197,43728
"FR",67.0488615693408,79715
"SO",54.8402506533285,71174
"BS",62.6304527366919,53276
"BL",61.3241275680717,77198
"SH",49.064301851165,29657
"AR",48.6691798035184,17508
"AI",44.5262407979102,4211
"SG",51.9824356504725,131858
"GR",53.8723161694851,52630
"AG",57.9497461206283,168584
"TG",50.3599963544673,65834
"TI",60.8590633367944,91495
"VD",84.8437576171209,184617
"VS",57.0311690513644,106163
"NE",75.1635859960835,41874
"GE",82.2380868057821,107297
"JU",67.2151635076026,19204
