"","tax % oui","bulletins"
"ZH",43.4644134119368,583689
"BE",46.197937353622,438078
"LU",50.8290164126809,178947
"UR",50.9397968916569,17823
"SZ",54.5134073046694,69216
"OW",54.6525064656358,18173
"NW",54.5554587555596,21809
"GL",51.7473570803313,14851
"ZG",51.648330288069,51446
"FR",53.601056585084,121145
"SO",51.7285668414856,112116
"BS",39.4891998741467,73101
"BL",49.3712640167547,114595
"SH",51.2657537236074,36658
"AR",49.5045564885192,25129
"AI",55.6486607810863,6683
"SG",52.9966941211055,193897
"GR",49.4191342542333,80139
"AG",52.7870840480933,260577
"TG",53.9645007073012,96847
"TI",54.7216347065974,142313
"VD",45.7386221036415,258989
"VS",56.9580597775579,133428
"NE",51.9184594311498,62055
"GE",46.6987646026947,133965
"JU",60.066220398762,27786
